SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SUNTECK, EQ, 10-Jul-2019, 457.15, 456.05, 459.90, 447.60, 455.00, 453.15, 452.19, 112327, 507.93, 2542, 10288, 9.16
SUNTV, EQ, 10-Jul-2019, 469.10, 470.00, 478.75, 443.15, 457.55, 458.85, 458.74, 4391555, 20145.76, 64005, 822144, 18.72
SUPERHOUSE, EQ, 10-Jul-2019, 89.00, 88.05, 91.75, 88.05, 91.50, 91.30, 90.73, 1997, 1.81, 59, 1154, 57.79
SUPERSPIN, EQ, 10-Jul-2019, 5.00, 5.00, 5.10, 4.80, 5.00, 4.90, 5.01, 8893, 0.45, 28, 7567, 85.09
SUPPETRO, EQ, 10-Jul-2019, 200.95, 200.95, 206.05, 198.30, 199.00, 200.00, 200.83, 2664, 5.35, 124, 2255, 84.65
SUPRAJIT, EQ, 10-Jul-2019, 202.80, 200.30, 201.25, 195.35, 198.00, 198.15, 198.19, 19859, 39.36, 930, 12846, 64.69
SUPREMEENG, SM, 10-Jul-2019, 37.35, 36.05, 37.35, 36.05, 37.35, 37.35, 36.60, 16000, 5.86, 3, 12000, 75.00
SUPREMEIND, EQ, 10-Jul-2019, 1111.75, 1111.75, 1120.00, 1086.50, 1094.85, 1094.05, 1097.52, 103233, 1133.01, 1776, 95553, 92.56
SUPREMEINF, EQ, 10-Jul-2019, 18.70, 19.60, 19.60, 19.60, 19.60, 19.60, 19.60, 2093, 0.41, 16, 2089, 99.81
SURANASOL, EQ, 10-Jul-2019, 7.05, 7.05, 7.20, 6.95, 7.05, 7.05, 7.12, 2394, 0.17, 31, 1361, 56.85
SURANAT&P, EQ, 10-Jul-2019, 4.95, 5.45, 5.45, 4.30, 4.75, 4.70, 4.78, 135585, 6.49, 459, 81154, 59.85
SURANI, SM, 10-Jul-2019, 41.30, 39.00, 48.00, 39.00, 46.75, 46.80, 46.79, 52000, 24.33, 10, 52000, 100.00
SURYALAXMI, EQ, 10-Jul-2019, 24.20, 24.50, 25.40, 24.50, 24.65, 24.65, 24.71, 6981, 1.72, 57, 3835, 54.93
SURYAROSNI, EQ, 10-Jul-2019, 219.80, 220.85, 231.50, 220.00, 227.00, 228.25, 229.28, 497794, 1141.35, 8418, 97412, 19.57
SUTLEJTEX, EQ, 10-Jul-2019, 28.50, 28.95, 29.50, 28.20, 29.50, 29.15, 29.00, 21991, 6.38, 149, 17900, 81.40
SUVEN, EQ, 10-Jul-2019, 256.70, 255.70, 257.35, 250.70, 251.25, 251.70, 253.46, 204112, 517.34, 3852, 131390, 64.37
SUZLON, EQ, 10-Jul-2019, 4.75, 4.80, 5.00, 4.70, 4.75, 4.85, 4.83, 15117127, 730.04, 19094, 4548429, 30.09
SWANENERGY, EQ, 10-Jul-2019, 104.85, 105.95, 106.00, 102.60, 104.15, 104.05, 103.92, 94876, 98.59, 1471, 11218, 11.82
SWARAJENG, EQ, 10-Jul-2019, 1394.60, 1400.00, 1410.00, 1390.00, 1405.00, 1399.20, 1403.56, 4460, 62.60, 557, 3017, 67.65
SWELECTES, EQ, 10-Jul-2019, 241.40, 240.00, 240.00, 221.10, 228.00, 228.00, 228.83, 39777, 91.02, 2090, 15374, 38.65
SYMPHONY, EQ, 10-Jul-2019, 1235.20, 1235.20, 1244.95, 1200.00, 1200.75, 1206.95, 1218.82, 3456, 42.12, 586, 1854, 53.65
