Date,Open,High,Low,Close,Adj Close,Volume
2019-02-28,160.899994,162.000000,160.389999,161.380005,160.054321,2017300
2019-03-01,163.000000,164.899994,162.679993,164.199997,162.851135,2227600
2019-03-04,164.750000,164.919998,160.910004,162.820007,161.482483,1896300
2019-03-05,162.970001,163.910004,162.520004,163.669998,162.325500,1564900
2019-03-06,164.059998,164.059998,162.339996,162.389999,161.056015,1733300
2019-03-07,162.210007,162.449997,160.779999,161.850006,160.520462,1655000
2019-03-08,161.000000,161.809998,160.500000,161.690002,160.361771,1458100
2019-03-11,162.479996,164.070007,161.990005,163.940002,162.593277,1240400
2019-03-12,164.490005,165.820007,163.720001,163.990005,162.642868,2351200
2019-03-13,164.970001,165.279999,163.660004,164.110001,162.761887,2095200
2019-03-14,164.460007,164.929993,164.110001,164.820007,163.466064,2270100
2019-03-15,165.000000,167.039993,164.899994,166.389999,165.023148,3737200
2019-03-18,166.750000,167.440002,165.139999,166.429993,165.062820,1592100
2019-03-19,167.110001,167.630005,165.529999,166.199997,164.834717,1949600
2019-03-20,166.399994,167.259995,164.809998,166.270004,164.904144,2128800
2019-03-21,165.179993,168.919998,165.179993,168.240005,166.857956,1666400
2019-03-22,167.800003,168.419998,165.110001,165.240005,163.882599,1602600
2019-03-25,164.979996,165.470001,164.000000,165.080002,163.723923,1769900
2019-03-26,166.479996,167.600006,165.940002,166.940002,165.568634,1777800
2019-03-27,167.000000,167.800003,165.369995,166.470001,165.102493,2376200
2019-03-28,170.919998,177.490005,170.479996,175.119995,173.681442,5398700
2019-03-29,175.300003,176.970001,174.949997,176.020004,174.574051,2773000
2019-04-01,175.500000,176.520004,174.789993,176.320007,174.871582,2977900
2019-04-02,175.830002,176.550003,174.559998,175.369995,173.929382,1923600
2019-04-03,175.899994,177.389999,175.479996,177.190002,175.734436,2481800
2019-04-04,177.190002,177.440002,175.860001,177.160004,175.704681,2270200
2019-04-05,177.440002,178.419998,177.039993,178.149994,176.686539,1861500
2019-04-08,177.669998,179.080002,177.369995,178.910004,177.440308,1373300
2019-04-09,177.750000,178.470001,177.279999,177.729996,176.269989,1813900
2019-04-10,176.800003,177.750000,176.100006,177.000000,177.000000,1582600
2019-04-11,177.179993,178.470001,176.899994,178.360001,178.360001,1417200
2019-04-12,178.500000,179.360001,177.800003,178.639999,178.639999,2663400
2019-04-15,178.410004,179.639999,177.949997,179.300003,179.300003,1619800
2019-04-16,179.800003,179.899994,178.259995,179.059998,179.059998,1618200
2019-04-17,179.580002,180.000000,178.899994,178.949997,178.949997,1637400
2019-04-18,178.720001,179.000000,177.389999,178.610001,178.610001,1319700
2019-04-22,177.250000,178.250000,177.020004,178.070007,178.070007,1393900
2019-04-23,178.199997,180.550003,177.960007,180.479996,180.479996,1785500
2019-04-24,180.860001,181.410004,180.270004,180.809998,180.809998,1463900
2019-04-25,180.580002,180.580002,178.610001,179.949997,179.949997,1035300
2019-04-26,180.119995,180.850006,179.089996,180.830002,180.830002,1010300
2019-04-29,180.779999,181.720001,180.639999,181.210007,181.210007,1111900
2019-04-30,181.580002,182.830002,181.169998,182.669998,182.669998,1535800
2019-05-01,183.199997,183.350006,181.289993,181.309998,181.309998,1242400
2019-05-02,181.000000,182.330002,178.490005,179.389999,179.389999,1889900
2019-05-03,177.029999,177.960007,176.520004,176.979996,176.979996,2680200
2019-05-06,173.830002,176.869995,172.889999,176.259995,176.259995,1630200
2019-05-07,174.919998,175.149994,172.360001,173.940002,173.940002,2308500
2019-05-08,174.070007,175.250000,173.160004,173.820007,173.820007,1984900
2019-05-09,172.100006,174.580002,171.389999,174.460007,174.460007,2044800
2019-05-10,173.720001,174.979996,170.669998,174.300003,174.300003,2139600
2019-05-13,171.389999,172.000000,170.350006,171.020004,171.020004,1853800
2019-05-14,171.910004,174.770004,171.910004,173.610001,173.610001,2181200
2019-05-15,172.210007,176.139999,172.179993,175.399994,175.399994,2060800
2019-05-16,176.270004,179.750000,176.110001,178.169998,178.169998,2232100
2019-05-17,176.389999,179.190002,176.389999,178.330002,178.330002,1551100
2019-05-20,176.979996,179.470001,176.440002,178.539993,178.539993,1566000
2019-05-21,179.610001,180.000000,178.809998,179.570007,179.570007,1224900
2019-05-22,179.320007,181.380005,179.190002,180.389999,180.389999,1212300
2019-05-23,178.940002,178.940002,176.440002,178.270004,178.270004,1250200
2019-05-24,179.559998,180.330002,178.639999,178.809998,178.809998,1288100
2019-05-28,179.259995,180.110001,177.800003,178.389999,178.389999,2336500
2019-05-29,177.639999,178.699997,176.610001,177.610001,177.610001,1547700
2019-05-30,177.660004,179.460007,177.660004,178.820007,178.820007,1047900
2019-05-31,177.470001,178.630005,176.490005,178.070007,178.070007,1799600
2019-06-03,177.869995,178.360001,174.229996,175.160004,175.160004,1774600
2019-06-04,177.270004,178.020004,175.770004,177.970001,177.970001,2269700
2019-06-05,179.419998,180.350006,178.389999,179.559998,179.559998,1492100
2019-06-06,180.000000,180.979996,179.330002,180.399994,180.399994,1737700
2019-06-07,181.630005,184.229996,181.270004,182.919998,182.919998,1965900
2019-06-10,184.330002,185.270004,183.729996,184.440002,184.440002,1525000
2019-06-11,185.759995,186.679993,183.070007,183.369995,183.369995,1423400
2019-06-12,183.619995,185.070007,183.220001,184.589996,184.589996,1402100
2019-06-13,185.869995,186.100006,184.240005,184.949997,184.949997,1323700
2019-06-14,184.660004,185.830002,184.139999,184.970001,184.970001,1864700
2019-06-17,185.000000,185.330002,183.779999,183.899994,183.899994,1177900
2019-06-18,184.990005,185.669998,184.289993,184.500000,184.500000,1972600
2019-06-19,184.729996,185.380005,183.509995,183.949997,183.949997,2023500
2019-06-20,184.789993,186.960007,184.479996,186.520004,186.520004,2122000
2019-06-21,187.100006,187.309998,185.190002,185.559998,185.559998,3306600
2019-06-24,186.070007,187.149994,185.580002,186.110001,186.110001,1703100
2019-06-25,186.520004,186.660004,184.479996,184.899994,184.899994,1863300
2019-06-26,185.630005,185.929993,183.309998,183.309998,183.309998,2395300
2019-06-27,178.800003,183.110001,177.990005,183.000000,183.000000,3434500
2019-06-28,184.229996,185.500000,182.869995,184.770004,184.770004,2937900
2019-07-01,184.830002,186.960007,184.429993,186.869995,186.869995,2397800
2019-07-02,186.910004,188.740005,186.240005,188.600006,188.600006,2123500
2019-07-03,189.330002,190.970001,188.100006,190.970001,190.970001,1106900
2019-07-05,189.919998,191.740005,188.250000,191.389999,191.389999,2111000
2019-07-08,191.059998,191.139999,189.860001,190.309998,190.309998,1877200
2019-07-09,189.070007,191.149994,189.070007,191.089996,191.089996,1732500
2019-07-10,191.509995,192.089996,190.979996,191.710007,191.710007,1584400
2019-07-11,192.490005,194.669998,192.250000,194.669998,194.669998,1922200
2019-07-12,195.000000,196.229996,193.820007,196.210007,196.210007,2059400
2019-07-15,196.220001,196.360001,195.080002,195.320007,195.320007,1267000
